,dd,country,fatalities,preds_ols,preds_olsx,preds_dols,preds_dolsx
2035,2017-09,Eritrea,0.0,0.006895745307659398,-0.02867062934371134,0.007045765572707652,-0.030311752687089744
2036,2017-10,Eritrea,0.0,0.006895745307659398,-0.02867062934371134,0.007045765572707652,-0.030311752687089744
2037,2017-11,Eritrea,0.0,0.004597174484014961,-0.027204611996598516,0.004697188232173381,-0.02869550374157548
2038,2017-12,Eritrea,0.0,0.004597174484014961,-0.02867062934371134,1.7612935724123369e-07,-0.030311752687089744
2039,2018-01,Eritrea,0.0,0.00459717448401496,-0.018893427504287352,2.5164571668210428e-08,-0.01646570385856183
2040,2018-02,Eritrea,0.0,0.004597174484014959,-0.018893427504287352,2.5164571668210428e-08,-0.01646570385856183
2041,2018-03,Eritrea,0.0,0.004597174484014961,-0.018893427504287352,2.516457166842727e-08,-0.02035846596762969
2042,2018-04,Eritrea,0.0,0.004597174484014961,-0.018893427504287352,2.516457166842727e-08,-0.02035846596762969
2043,2018-05,Eritrea,0.0,0.004597174484014958,-0.018893427504287352,2.5164571668210428e-08,-0.02035846596762969
2044,2018-06,Eritrea,0.0,0.002298603660370522,-0.017427410157174528,-0.0023485521759626033,-0.018742217022115426
2045,2018-07,Eritrea,0.0,0.0022986036603705236,-0.018893427504287352,-6.289947791500265e-08,-0.02035846596762969
2046,2018-08,Eritrea,0.0,0.002298603660370522,-0.018893427504287352,-6.28994779173879e-08,-0.01646570385856183
2047,2018-09,Eritrea,0.0,0.002298603660370522,-0.018893427504287352,-0.0023485521759626015,-0.01646570385856183
2048,2018-10,Eritrea,0.0,0.0025690260296942708,-0.018893427504287352,-0.0020722466375670263,-0.02035846596762969
2049,2018-11,Eritrea,0.0,0.004597174484014961,-0.018893427504287352,2.516457166842727e-08,-0.02035846596762969
2050,2018-12,Eritrea,0.0,0.004597174484014958,-0.018893427504287352,2.5164571668210428e-08,-0.02035846596762969
2051,2019-01,Eritrea,0.0,0.004597174484014959,-0.01081926104059594,2.516457166842727e-08,-0.012464414296535331
2052,2019-02,Eritrea,0.0,0.004597174484014961,-0.01081926104059594,2.516457166842727e-08,-0.012464414296535331
2053,2019-03,Eritrea,0.0,0.004597174484014959,-0.01081926104059594,1.7612935724513681e-07,-0.012464414296535331
2054,2019-04,Eritrea,0.0,0.004597174484014961,-0.01081926104059594,0.004697188232173383,-0.012464414296535331
2055,2019-05,Eritrea,0.0,0.004867596853338709,-0.01081926104059594,0.004973493770568957,-0.012464414296535331
2056,2019-06,Eritrea,0.0,0.006895745307659398,-0.01081926104059594,0.007045765572707652,-0.012464414296535331
2057,2019-07,Eritrea,0.0,0.006895745307659398,-0.01081926104059594,0.007045765572707652,-0.012464414296535331
2058,2019-08,Eritrea,0.0,0.006895745307659398,-0.01081926104059594,0.007045765572707652,-0.012464414296535331
2059,2019-09,Eritrea,0.0,0.006895745307659398,-0.01081926104059594,0.007045765572707652,-0.012464414296535331
2060,2019-10,Eritrea,0.0,0.006895745307659398,-0.01081926104059594,0.007045765572707652,-0.012464414296535331
2061,2019-11,Eritrea,0.0,0.006895745307659398,-0.01081926104059594,0.007045765572707652,-0.012464414296535331
2062,2019-12,Eritrea,0.0,0.006895745307659398,-0.01081926104059594,0.007045765572707652,-0.012464414296535331
2063,2020-01,Eritrea,0.0,0.006895745307659398,-0.00035584107269492904,0.007045765572707652,-0.0017906708069501676
2064,2020-02,Eritrea,0.0,0.006895745307659398,-0.00035584107269492904,0.007045765572707652,-0.0017906708069501676
2065,2020-03,Eritrea,0.0,0.006895745307659398,-0.00035584107269492904,0.007045765572707652,-0.0017906708069501676
2066,2020-04,Eritrea,0.0,0.006895745307659398,-0.00035584107269492904,0.007045765572707652,-0.0017906708069501676
2067,2020-05,Eritrea,0.0,0.006895745307659398,-0.00035584107269492904,0.007045765572707652,-0.0017906708069501676
2068,2020-06,Eritrea,0.0,0.006895745307659398,-0.00035584107269492904,0.007045765572707652,-0.0017906708069501676
2069,2020-07,Eritrea,0.0,0.006895745307659398,-0.00035584107269492904,0.007045765572707652,-0.0017906708069501676
2070,2020-08,Eritrea,0.0,0.006895745307659398,-0.00035584107269492904,0.007045765572707652,-0.0017906708069501676
2071,2020-09,Eritrea,0.0,0.006895745307659398,-0.00035584107269492904,0.007045765572707652,-0.0017906708069501676
2072,2020-10,Eritrea,0.0,0.006895745307659398,-0.00035584107269492904,0.007045765572707652,-0.0017906708069501676
2073,2020-11,Eritrea,0.0,0.006895745307659398,-0.00035584107269492904,0.007045765572707652,-0.0017906708069501676
2074,2020-12,Eritrea,0.0,0.006895745307659398,-0.00035584107269492904,0.007045765572707652,-0.0017906708069501676
2075,2021-01,Eritrea,0.0,0.006895745307659398,0.01857750791627133,0.007045765572707652,0.017073994395189196
2076,2021-02,Eritrea,0.0,0.006895745307659398,0.01857750791627133,0.007045765572707652,0.017073994395189196
2077,2021-03,Eritrea,0.0,0.006895745307659398,0.01857750791627133,0.007045765572707652,0.017073994395189196
2078,2021-04,Eritrea,0.0,0.006895745307659398,0.01857750791627133,0.007045765572707652,0.017073994395189196
2079,2021-05,Eritrea,0.0,0.006895745307659398,0.01857750791627133,0.007045765572707652,0.017073994395189196
2080,2021-06,Eritrea,0.0,0.006895745307659398,0.01857750791627133,0.007045765572707652,0.017073994395189196
2081,2021-07,Eritrea,0.0,0.006895745307659398,0.01857750791627133,0.007045765572707652,0.017073994395189196
2082,2021-08,Eritrea,0.0,0.006895745307659398,0.01857750791627133,0.007045765572707652,0.017073994395189196
2083,2021-09,Eritrea,0.0,0.006895745307659398,0.01857750791627133,0.007045765572707652,0.017073994395189196
2084,2021-10,Eritrea,0.0,0.006895745307659398,0.01857750791627133,0.007045765572707652,0.017073994395189196
2085,2021-11,Eritrea,0.0,0.006895745307659398,0.01857750791627133,0.007045765572707652,0.017073994395189196
2086,2021-12,Eritrea,0.0,0.006895745307659398,0.01857750791627133,0.007045765572707652,0.017073994395189196
2087,2022-01,Eritrea,0.5,0.006895745307659398,0.02065724076054387,0.007045765572707652,0.019100312465951674
2088,2022-02,Eritrea,0.0,0.006895745307659398,0.08655296425409009,0.007045765572707652,0.08493846021838447
2089,2022-03,Eritrea,0.5,0.006895745307659398,0.02065724076054387,0.007045765572707652,0.019100312465951674
2090,2022-04,Eritrea,0.0,0.006895745307659398,0.08655296425409009,0.007045765572707652,0.08493846021838447
2091,2022-05,Eritrea,1.0,0.006895745307659398,0.02065724076054387,0.007045765572707652,0.019100312465951674
2092,2022-06,Eritrea,0.0,0.006895745307659398,0.1524486877476363,0.007045765572707652,0.15077660797081638
2093,2022-07,Eritrea,0.0,0.006895745307659398,0.02065724076054387,0.007045765572707652,0.019100312465951674
2094,2022-08,Eritrea,0.0,0.006895745307659398,0.02065724076054387,0.007045765572707652,0.019100312465951674
2095,2022-09,Eritrea,0.0,0.006895745307659398,0.02065724076054387,0.007045765572707652,0.019100312465951674
2096,2022-10,Eritrea,0.0,0.006895745307659398,0.02065724076054387,0.007045765572707652,0.019100312465951674
2097,2022-11,Eritrea,0.0,0.006895745307659398,0.02065724076054387,0.007045765572707652,0.019100312465951674
2098,2022-12,Eritrea,0.0,0.006895745307659398,0.02065724076054387,0.007045765572707652,0.019100312465951674
2099,2023-01,Eritrea,0.0,0.006895745307659398,0.004332613326634593,0.007045765572707652,0.002992334783420425
2100,2023-02,Eritrea,0.0,0.006895745307659398,0.004332613326634593,0.007045765572707652,0.002992334783420425
2101,2023-03,Eritrea,0.0,0.006895745307659398,0.004332613326634593,0.007045765572707652,0.002992334783420425
2102,2023-04,Eritrea,0.0,0.006895745307659398,0.004332613326634593,0.007045765572707652,0.002992334783420425
2103,2023-05,Eritrea,0.0,0.006895745307659398,0.004332613326634593,0.007045765572707652,0.002992334783420425
2104,2023-06,Eritrea,0.0,0.006895745307659398,0.004332613326634593,0.007045765572707652,0.002992334783420425
2105,2023-07,Eritrea,0.0,0.006895745307659398,0.004332613326634593,0.007045765572707652,0.002992334783420425
2106,2023-08,Eritrea,0.0,0.006895745307659398,0.004332613326634593,0.007045765572707652,0.002992334783420425
2107,2023-09,Eritrea,0.0,0.006895745307659398,0.004332613326634593,0.007045765572707652,0.002992334783420425
2108,2023-10,Eritrea,0.0,0.006895745307659398,0.004332613326634593,0.007045765572707652,0.002992334783420425
2109,2023-11,Eritrea,0.0,0.006895745307659398,0.004332613326634593,0.007045765572707652,0.002992334783420425
2110,2023-12,Eritrea,0.0,0.006895745307659398,0.004332613326634593,0.007045765572707652,0.002992334783420425
2111,2022-10,Estonia,0.0,0.0,0.0,0.0,0.0
2112,2022-11,Estonia,0.0,0.0,0.0,0.0,0.0
2113,2022-12,Estonia,0.0,0.0,0.0,0.0,0.0
2114,2023-01,Estonia,0.0,0.0,0.0,0.0,0.0
2115,2023-02,Estonia,0.0,0.0,0.0,0.0,0.0
2116,2023-03,Estonia,0.0,0.0,0.0,0.0,0.0
2117,2023-04,Estonia,0.0,0.0,0.0,0.0,0.0
2118,2023-05,Estonia,0.0,0.0,0.0,0.0,0.0
2119,2023-06,Estonia,0.0,0.0,0.0,0.0,0.0
2120,2023-07,Estonia,0.0,0.0,0.0,0.0,0.0
